,'userID','songID','rating'
0,0,7171,5
1,0,8637,4
2,0,21966,4
3,0,35821,5
4,0,82446,5
5,0,90409,5
6,0,107410,5
7,0,131919,5
8,0,132685,3
9,0,136507,3
10,1,3342,5
11,1,7522,1
12,1,25363,2
13,1,38997,5
14,1,43685,1
15,1,45488,4
16,1,62770,3
17,1,109450,3
18,1,122506,3
19,1,130621,5
20,2,10438,3
21,2,31025,3
22,2,61247,4
23,2,61525,3
24,2,72465,4
25,2,89124,2
26,2,126946,3
27,2,127254,5
28,2,132216,2
29,2,134626,2
30,3,1666,1
31,3,20977,3
32,3,32861,1
33,3,36412,1
34,3,51490,5
35,3,51664,2
36,3,58567,4
37,3,86558,1
38,3,96136,4
39,3,102937,5
40,4,1539,5
41,4,70128,3
42,4,74190,2
43,4,81560,1
44,4,91266,1
45,4,95525,5
46,4,95927,3
47,4,113793,1
48,4,125003,1
49,4,128803,3
50,5,8063,2
51,5,24427,4
52,5,39231,3
53,5,95898,3
54,5,98571,3
55,5,105433,4
56,5,128621,4
57,5,130850,3
58,5,131629,5
59,5,133967,4
60,6,2323,4
61,6,18878,4
62,6,21675,5
63,6,63178,3
64,6,78019,2
65,6,79425,5
66,6,79977,4
67,6,102020,5
68,6,104793,1
69,6,110674,5
70,7,28841,4
71,7,39671,3
72,7,48211,4
73,7,67674,1
74,7,74541,1
75,7,78136,3
76,7,87212,4
77,7,91657,1
78,7,110746,4
79,7,134732,3
80,8,11219,5
81,8,14707,5
82,8,20233,1
83,8,25635,5
84,8,31642,5
85,8,32496,5
86,8,79813,5
87,8,80895,5
88,8,122021,5
89,8,134269,5
90,9,42076,3
91,9,43887,5
92,9,76323,3
93,9,95670,3
94,9,98993,3
95,9,105156,3
96,9,113452,3
97,9,119398,2
98,9,130766,3
99,9,133420,3
100,10,11091,4
101,10,19275,3
102,10,21140,4
103,10,44487,3
104,10,49147,1
105,10,54923,5
106,10,63451,3
107,10,75206,3
108,10,104641,1
109,10,110054,3
110,11,13125,3
111,11,32744,2
112,11,49948,4
113,11,56355,4
114,11,57149,4
115,11,60099,4
116,11,66629,3
117,11,71183,3
118,11,108367,3
119,11,110463,4
120,12,10663,4
121,12,27328,5
122,12,42587,4
123,12,88523,5
124,12,89579,2
125,12,90889,5
126,12,101643,4
127,12,102311,3
128,12,113766,4
129,12,121511,4
130,13,726,3
131,13,32231,5
132,13,40164,3
133,13,46888,1
134,13,56192,4
135,13,56333,3
136,13,67755,5
137,13,68482,4
138,13,81744,5
139,13,127812,4
140,14,10678,5
141,14,15769,4
142,14,43893,3
143,14,44545,1
144,14,83457,1
145,14,86566,5
146,14,98899,1
147,14,105421,3
148,14,113227,4
149,14,125948,1
150,15,12861,2
151,15,25860,1
152,15,46001,1
153,15,52354,1
154,15,63594,3
155,15,68482,1
156,15,83695,1
157,15,92459,1
158,15,101952,4
159,15,123827,1
160,16,1905,3
161,16,3206,3
162,16,13938,5
163,16,39616,4
164,16,51340,1
165,16,54139,2
166,16,74168,4
167,16,87088,4
168,16,103118,1
169,16,114810,1
170,17,46499,5
171,17,56164,5
172,17,60147,5
173,17,62648,5
174,17,63391,5
175,17,75215,5
176,17,100785,5
177,17,112362,5
178,17,123702,5
179,17,130316,5
180,18,3432,5
181,18,13002,5
182,18,15813,5
183,18,21667,5
184,18,24057,5
185,18,25215,5
186,18,94302,5
187,18,96148,5
188,18,102798,5
189,18,116089,5
190,19,16544,4
191,19,22279,4
192,19,25922,3
193,19,39124,4
194,19,85132,3
195,19,103906,2
196,19,106719,2
197,19,114093,4
198,19,118414,2
199,19,132780,5
200,20,19670,1
201,20,26328,1
202,20,45348,1
203,20,51936,1
204,20,57309,5
205,20,61662,5
206,20,68910,5
207,20,70014,5
208,20,80589,1
209,20,83962,1
210,21,319,1
211,21,12447,1
212,21,15099,5
213,21,34155,2
214,21,34180,1
215,21,34910,1
216,21,57297,1
217,21,81582,1
218,21,103739,1
219,21,105694,1
220,22,20322,5
221,22,26615,3
222,22,59801,3
223,22,61455,2
224,22,63429,2
225,22,72565,1
